Layer 3			
phi	   kx	          ky	                  kz
0.20659	276.22060	82.86618	151.29225
0.27185	476.80333	143.04100	261.15594
0.30719	428.03152	128.40946	234.44252
0.29461	463.51541	139.05462	253.87785
0.27883	325.46409	97.63923	178.26402
0.25720	364.55725	109.36718	199.67623
0.33273	424.93899	127.48170	232.74867
0.27899	312.68148	93.80444	171.26270
0.20369	246.83710	74.05113	135.19825
0.19563	289.85392	86.95618	158.75953
0.23857	405.08604	121.52581	221.87476
0.28156	541.95918	162.58775	296.84327
0.28086	530.26586	159.07976	290.43857
0.28868	494.49705	148.34912	270.84719
0.27179	486.20373	145.86112	266.30475
0.35386	660.15108	198.04532	361.57964
0.37477	603.07659	180.92298	330.31865
0.26989	449.91824	134.97547	246.43037
0.20665	407.30472	122.19142	223.08998
0.19851	266.38456	79.91537	145.90483
0.19987	310.30246	93.09074	169.95966
0.26070	414.41238	124.32371	226.98301
0.26076	412.91650	123.87495	226.16368
0.31345	494.72642	148.41793	270.97282
0.30914	426.73832	128.02150	233.73420
0.28479	440.97385	132.29216	241.53132
0.31836	441.57313	132.47194	241.85956
0.25749	239.32032	71.79610	131.08114
0.24686	238.62736	71.58821	130.70159
0.21365	306.01608	91.80482	167.61191
0.22687	365.20172	109.56052	200.02922
0.26854	481.24691	144.37407	263.58979
0.27382	553.64617	166.09385	303.24450
0.26586	486.18179	145.85454	266.29273
0.29351	452.73149	135.81945	247.97125
0.35122	647.83721	194.35116	354.83505
0.35442	615.95167	184.78550	337.37062
0.24334	455.56833	136.67050	249.52505
0.21881	363.72180	109.11654	199.21863
0.22331	336.22579	100.86774	184.15845
0.20547	370.50816	111.15245	202.93568
0.19759	316.51809	94.95543	173.36410
0.27257	436.82619	131.04786	239.25956
0.30620	530.19445	159.05834	290.39946
0.30807	531.93145	159.57944	291.35085
0.31800	480.54026	144.16208	263.20274
0.31146	459.28086	137.78426	251.55849
0.32136	327.50628	98.25188	179.38258
0.25398	295.14490	88.54347	161.65752
0.21260	245.48472	73.64542	134.45752
0.22252	344.83886	103.45166	188.87602
0.27947	529.46247	158.83874	289.99854
0.28972	616.61347	184.98404	337.73311
0.26272	527.57503	158.27251	288.96474
0.30958	474.92351	142.47705	260.12632
0.33190	501.28447	150.38534	274.56481
0.37345	642.43385	192.73016	351.87551
0.29188	575.13387	172.54016	315.01379
0.21571	389.98781	116.99634	213.60512
0.22917	396.43705	118.93112	217.13751
0.20277	433.80092	130.14028	237.60255
0.21544	319.65347	95.89604	175.08142
0.24425	452.88504	135.86551	248.05535
0.30152	514.86843	154.46053	282.00505
0.32609	507.39904	152.21971	277.91390
0.29982	416.10740	124.83222	227.91141
0.30511	491.37754	147.41326	269.13856
0.29858	334.70849	100.41255	183.32739
0.28099	339.67574	101.90272	186.04807
0.25527	274.64706	82.39412	150.43039
0.23781	328.16272	98.44882	179.74212
0.27217	450.28209	135.08463	246.62966
0.31068	617.71998	185.31599	338.33917
0.28015	610.46208	183.13862	334.36385
0.32764	590.88425	177.26528	323.64063
0.30429	518.66936	155.60081	284.08691
0.32651	549.53077	164.85923	300.99040
0.29578	531.13058	159.33917	290.91220
0.23088	455.70228	136.71068	249.59842
0.20633	374.66467	112.39940	205.21229
0.23654	570.01901	171.00570	312.21227
0.20153	365.42707	109.62812	200.15265
0.22739	401.60914	120.48274	219.97039
0.26549	452.85334	135.85600	248.03799
0.32586	551.21027	165.36308	301.91030
0.28516	439.62900	131.88870	240.79472
0.31178	482.00182	144.60055	264.00327
0.29775	468.03795	140.41139	256.35494
0.31516	395.44954	118.63486	216.59663
0.28399	321.78665	96.53600	176.24981
0.25614	292.54087	87.76226	160.23123
0.25980	376.42366	112.92710	206.17573
0.29268	526.83778	158.05133	288.56094
0.28045	551.40203	165.42061	302.01533
0.32141	588.06145	176.41844	322.09452
0.35565	532.43139	159.72942	291.62468
0.34092	507.12290	152.13687	277.76265
0.34589	620.78604	186.23581	340.01852
0.26539	493.52112	148.05634	270.31265
0.18500	427.17734	128.15320	233.97467
0.24441	554.03789	166.21137	303.45905
0.22831	455.23047	136.56914	249.34000
0.24252	472.81256	141.84377	258.97010
0.26358	465.08799	139.52640	254.73918
0.30191	533.77523	160.13257	292.36073
0.28914	440.12007	132.03602	241.06369
0.30277	450.79085	135.23726	246.90832
0.30802	495.54870	148.66461	271.42320
0.31214	400.87823	120.26347	219.57005
0.28508	306.57045	91.97114	167.91555
0.26572	265.12550	79.53765	145.21522
0.23982	277.70492	83.31148	152.10525
0.30857	503.64185	151.09256	275.85600
0.29553	593.93562	178.18069	325.31194
0.32989	607.39393	182.21818	332.68336
0.31190	470.68408	141.20522	257.80429
0.33174	594.01741	178.20522	325.35674
0.34757	583.53108	175.05932	319.61314
0.25766	476.70644	143.01193	261.10287
0.21979	425.07319	127.52196	232.82217
0.22952	522.00803	156.60241	285.91557
0.23687	585.63414	175.69024	320.76503
0.21861	399.42730	119.82819	218.77534
0.26388	497.62826	149.28848	272.56222
0.28958	545.04745	163.51424	298.53478
0.32280	429.17660	128.75298	235.06970
0.31792	448.33516	134.50055	245.56328
0.32954	512.35050	153.70515	280.62593
0.30716	424.93180	127.47954	232.74473
0.29821	332.60400	99.78120	182.17471
0.29566	354.17952	106.25386	193.99211
0.24194	288.93587	86.68076	158.25669
0.27006	335.15522	100.54657	183.57207
0.29565	588.22278	176.46683	322.18289
0.31766	564.50873	169.35262	309.19417
0.30447	490.96726	147.29018	268.91384
0.30742	524.45786	157.33736	287.25740
0.35126	565.89664	169.76899	309.95435
0.30884	605.65896	181.69769	331.73307
0.20692	407.38310	122.21493	223.13291
0.23122	479.95683	143.98705	262.88318
0.22051	538.25731	161.47719	294.81567
0.26507	584.81503	175.44451	320.31638
0.27237	440.89777	132.26933	241.48965
0.27463	541.76466	162.52940	296.73673
0.28512	450.65139	135.19542	246.83193
0.28032	502.50881	150.75264	275.23541
0.30930	487.77452	146.33236	267.16511
0.31768	481.26862	144.38059	263.60168
0.31443	318.33622	95.50087	174.35993
0.29930	356.05419	106.81626	195.01891
0.26672	293.75690	88.12707	160.89728
0.26547	358.27981	107.48394	196.23793
0.27211	427.99398	128.39819	234.42196
0.31745	583.13076	174.93923	319.39387
0.32857	565.01680	169.50504	309.47245
0.31210	468.24503	140.47351	256.46837
0.35374	577.47592	173.24278	316.29659
0.32393	573.89651	172.16895	314.33606
0.23073	500.38873	150.11662	274.07419
0.25227	519.59836	155.87951	284.59574
0.24459	555.91238	166.77371	304.48575
0.24100	587.76449	176.32935	321.93187
0.28943	497.55034	149.26510	272.51954
0.27962	551.48713	165.44614	302.06194
0.28675	508.75310	152.62593	278.65555
0.27061	393.17739	117.95322	215.35213
0.31333	505.49680	151.64904	276.87200
0.29743	427.70851	128.31255	234.26560
0.31454	393.22463	117.96739	215.37800
0.30102	358.29350	107.48805	196.24543
0.28886	303.29775	90.98933	166.12302
0.26877	252.75440	75.82632	138.43929
0.28476	408.46309	122.53893	223.72445
0.30760	538.31029	161.49309	294.84469
0.30367	597.59592	179.27878	327.31677
0.29781	424.99178	127.49753	232.77758
0.31402	501.16221	150.34866	274.49785
0.30825	558.22129	167.46639	305.75039
0.21808	482.45744	144.73723	264.25282
0.23163	496.74426	149.02328	272.07804
0.23704	532.15125	159.64538	291.47124
0.22913	489.19662	146.75899	267.94402
0.24756	463.02132	138.90640	253.60722
0.26746	511.56165	153.46850	280.19386
0.28834	544.99297	163.49789	298.50494
0.28565	436.58393	130.97518	239.12687
0.28452	500.90466	150.27140	274.35678
0.27787	447.75935	134.32781	245.24790
0.32231	421.93140	126.57942	231.10135
0.27966	266.73780	80.02134	146.09831
0.32300	338.75777	101.62733	185.54527
0.27574	251.66969	75.50091	137.84517
0.27584	343.44724	103.03417	188.11380
0.27476	422.08925	126.62678	231.18780
0.30620	576.83665	173.05100	315.94645
0.26824	429.56319	128.86896	235.28145
0.28194	387.66972	116.30092	212.33545
0.31566	487.92474	146.37742	267.24739
0.24530	508.29091	152.48727	278.40240
0.26616	496.96121	149.08836	272.19686
0.25384	554.92263	166.47679	303.94364
0.25481	561.93413	168.58024	307.78400
0.27500	640.30667	192.09200	350.71041
0.27296	559.18560	167.75568	306.27857
0.27981	560.85673	168.25702	307.19388
0.27965	460.31256	138.09377	252.12357
0.27505	477.70446	143.31134	261.64951
0.28586	437.01865	131.10560	239.36497
0.32247	431.72688	129.51806	236.46655
0.30914	357.04933	107.11480	195.56397
0.29785	347.05136	104.11541	190.08786
0.27348	153.14972	45.94492	83.88356
0.30662	327.18334	98.15500	179.20570
0.24306	370.47197	111.14159	202.91585
0.29632	547.68150	164.30445	299.97751
0.30508	536.00437	160.80131	293.58168
0.28219	456.39881	136.91964	249.97992
0.31772	470.17822	141.05347	257.52722
0.28348	510.53214	153.15964	279.62997
0.27444	530.97284	159.29185	290.82580
0.23376	575.71860	172.71558	315.33406
0.25975	616.68830	185.00649	337.77409
0.27983	627.10158	188.13047	343.47768
0.26646	551.71242	165.51373	302.18534
0.31733	655.03734	196.51120	358.77873
0.29970	572.27113	171.68134	313.44581
0.28629	489.40835	146.82251	268.05999
0.27214	453.84532	136.15360	248.58132
0.29359	460.82333	138.24700	252.40333
0.34003	397.39643	119.21893	217.66299
0.27970	301.30393	90.39118	165.03096
0.29565	219.54907	65.86472	120.25198
