Layer 1			
phi	   kx	          ky	            kz
0.18741	431.59120	129.47736	236.39224
0.21411	451.80883	135.54265	247.46589
0.25381	540.76252	162.22876	296.18783
0.26445	735.88500	220.76550	403.06081
0.26161	821.61728	246.48518	450.01832
0.25278	759.07840	227.72352	415.76436
0.21990	780.06244	234.01873	427.25779
0.22078	793.56313	238.06894	434.65243
0.22009	822.81310	246.84393	450.67330
0.19429	807.97906	242.39372	442.54836
0.20320	848.03663	254.41099	464.48879
0.19760	851.76662	255.52999	466.53179
0.15529	594.55461	178.36638	325.65097
0.15961	521.47187	156.44156	285.62191
0.15708	569.82178	170.94653	312.10424
0.15818	539.80555	161.94167	295.66368
0.14508	509.56039	152.86812	279.09772
0.16371	392.95205	117.88562	215.22870
0.17126	301.19655	90.35897	164.97214
0.18349	388.90846	116.67254	213.01394
0.20896	519.86406	155.95922	284.74127
0.20935	473.92295	142.17689	259.57829
0.19659	424.21562	127.26469	232.35246
0.23458	558.26469	167.47941	305.77416
0.25168	734.10321	220.23096	402.08489
0.26506	788.27406	236.48222	431.75548
0.23696	780.85084	234.25525	427.68962
0.24126	905.21519	271.56456	495.80678
0.21293	873.77981	262.13394	478.58891
0.21431	867.10725	260.13218	474.93420
0.21909	902.34062	270.70219	494.23231
0.23431	1003.71246	301.11374	549.75596
0.22105	906.16689	271.85007	496.32805
0.19832	719.93979	215.98194	394.32726
0.19017	640.42600	192.12780	350.77577
0.18293	556.46894	166.94068	304.79059
0.17893	561.97109	168.59133	307.80424
0.19592	599.76105	179.92832	328.50266
0.18814	450.33669	135.10101	246.65956
0.18303	345.24623	103.57387	189.09915
0.23504	620.79890	186.23967	340.02556
0.22881	577.01105	173.10332	316.04197
0.20550	579.99399	173.99820	317.67579
0.20152	502.63716	150.79115	275.30571
0.22679	545.70858	163.71257	298.89690
0.23852	583.37998	175.01399	319.53037
0.25318	751.84821	225.55446	411.80422
0.23121	800.15715	240.04715	438.26412
0.25239	963.40270	289.02081	527.67739
0.23216	932.34381	279.70314	510.66574
0.22530	967.29524	290.18857	529.80942
0.22074	890.40185	267.12056	487.69318
0.22969	1012.13246	303.63974	554.36778
0.24501	1025.30043	307.59013	561.58017
0.24159	908.19658	272.45897	497.43975
0.21257	792.62588	237.78776	434.13907
0.22205	688.56525	206.56958	377.14272
0.19734	607.27170	182.18151	332.61641
0.19133	502.31261	150.69378	275.12795
0.21824	563.82646	169.14794	308.82047
0.23062	570.65825	171.19748	312.56240
0.22216	600.80976	180.24293	329.07706
0.22357	591.77756	177.53327	324.12992
0.20476	630.68599	189.20580	345.44094
0.17028	489.35226	146.80568	268.02927
0.20848	412.00515	123.60155	225.66451
0.22370	511.12583	153.33775	279.95515
0.24209	646.73279	194.01984	354.23014
0.24566	831.61840	249.48552	455.49616
0.25362	973.50342	292.05103	533.20978
