Layer 2			
phi	   kx	           ky	         kz
0.22008	576.94683	173.08405	316.00679
0.22442	524.52551	157.35765	287.29445
0.25585	589.95013	176.98504	323.12899
0.26103	562.22105	168.66632	307.94115
0.25784	569.65638	170.89691	312.01365
0.22148	576.06365	172.81910	315.52306
0.24181	584.59557	175.37867	320.19618
0.27206	712.96492	213.88948	390.50697
0.22416	630.34196	189.10259	345.25251
0.21995	646.96683	194.09005	354.35833
0.22929	662.96179	198.88854	363.11913
0.25783	838.39947	251.51984	459.21030
0.23272	705.90859	211.77258	386.64206
0.25205	595.31908	178.59572	326.06969
0.24319	549.82975	164.94893	301.15416
0.25026	513.15119	153.94536	281.06448
0.28541	759.19496	227.75849	415.82821
0.25084	720.88718	216.26615	394.84617
0.22633	712.44645	213.73394	390.22299
0.19272	631.41036	189.42311	345.83770
0.19040	555.53484	166.66045	304.27896
0.20678	578.04076	173.41223	316.60596
0.20695	561.61717	168.48515	307.61039
0.23411	512.66084	153.79825	280.79591
0.26262	598.30523	179.49157	327.70527
0.24696	570.41844	171.12553	312.43105
0.26306	666.62550	199.98765	365.12582
0.26056	721.16992	216.35098	395.00103
0.23486	666.12219	199.83666	364.85015
0.23900	700.32808	210.09842	383.58549
0.19712	614.18777	184.25633	336.40450
0.22035	666.07290	199.82187	364.82315
0.26242	794.10135	238.23041	434.94722
0.21821	600.74949	180.22485	329.04405
0.22134	578.99260	173.69778	317.12731
0.26136	569.03962	170.71189	311.67584
0.24299	590.21240	177.06372	323.27265
0.29476	803.14518	240.94355	439.90073
0.26059	829.17604	248.75281	454.15842
0.25259	826.90932	248.07280	452.91689
0.18396	542.58470	162.77541	297.18588
0.19090	571.43035	171.42911	312.98529
0.21532	586.17044	175.85113	321.05877
0.22079	618.31946	185.49584	338.66752
0.23778	639.15967	191.74790	350.08217
0.25464	657.83781	197.35134	360.31261
0.26653	665.72463	199.71739	364.63240
0.25658	632.54447	189.76334	346.45887
0.22998	702.69090	210.80727	384.87966
0.25302	745.22191	223.56657	408.17485
0.24023	736.32071	220.89621	403.29946
0.23180	711.63929	213.49179	389.78089
0.23059	780.32191	234.09657	427.39991
0.22937	764.29469	229.28841	418.62144
0.24423	596.12345	178.83704	326.51026
0.24594	581.07330	174.32199	318.26695
0.24700	521.00420	156.30126	285.36575
0.25456	656.18067	196.85420	359.40495
0.27768	838.53543	251.56063	459.28477
0.28830	929.09975	278.72993	508.88889
0.23271	769.26407	230.77922	421.34328
0.21594	638.76481	191.62944	349.86590
0.20134	582.33389	174.70017	318.95741
0.21344	612.66289	183.79887	335.56928
0.23242	720.87397	216.26219	394.83893
0.24079	628.05777	188.41733	344.00141
0.26873	761.10241	228.33072	416.87296
0.26449	645.48894	193.64668	353.54885
0.27539	785.04253	235.51276	429.98550
0.26678	778.75529	233.62659	426.54184
0.24225	757.27316	227.18195	414.77559
0.27431	773.01861	231.90558	423.39973
0.22514	762.87989	228.86397	417.84652
0.24421	818.46958	245.54087	448.29425
0.24224	675.67749	202.70325	370.08380
0.29166	721.42988	216.42896	395.14342
0.27937	629.82001	188.94600	344.96663
0.25084	723.34694	217.00408	396.19344
0.25151	681.88281	204.56484	373.48260
0.27233	832.65525	249.79658	456.06406
0.21976	848.89706	254.66912	464.96007
0.24784	846.98534	254.09560	463.91298
0.23660	676.15306	202.84592	370.34428
0.20191	554.49194	166.34758	303.70774
0.20303	625.79774	187.73932	342.76354
0.24866	766.21593	229.86478	419.67375
0.27328	683.34869	205.00461	374.28549
0.28741	750.47638	225.14291	411.05284
0.27379	766.45444	229.93633	419.80439
0.27701	808.08569	242.42571	442.60676
0.25550	782.39607	234.71882	428.53598
0.27197	856.23468	256.87040	468.97905
0.28826	826.99585	248.09876	452.96428
0.24762	746.76231	224.02869	409.01856
0.23318	670.17864	201.05359	367.07196
0.23765	661.01873	198.30562	362.05487
0.26317	647.86339	194.35902	354.84939
0.28139	682.63728	204.79118	373.89584
0.25874	679.15779	203.74734	371.99004
0.28260	751.53542	225.46063	411.63290
0.19728	811.09975	243.32993	444.25763
0.21573	818.09935	245.42981	448.09147
0.25454	887.45973	266.23792	486.08171
0.24211	657.31412	197.19424	360.02577
0.20640	617.54622	185.26387	338.24399
0.19396	577.99549	173.39865	316.58117
0.24891	800.03240	240.00972	438.19579
0.27598	743.72690	223.11807	407.35600
0.28519	768.42802	230.52841	420.88536
0.24906	786.68002	236.00401	430.88239
0.23949	753.26252	225.97876	412.57887
0.25653	816.25196	244.87559	447.07961
0.24641	878.20567	263.46170	481.01306
0.27298	830.07644	249.02293	454.65159
0.22309	714.37010	214.31103	391.27662
0.22517	656.13992	196.84198	359.38264
0.23947	646.76961	194.03088	354.25030
0.26020	640.28825	192.08648	350.70032
0.29135	650.44661	195.13398	356.26428
0.26179	615.85828	184.75748	337.31947
0.20219	712.96348	213.88904	390.50618
0.20680	759.72453	227.91736	416.11826
0.21941	845.67373	253.70212	463.19458
0.24365	764.54345	229.36304	418.75769
0.23143	577.78192	173.33458	316.46419
0.22948	608.71433	182.61430	333.40657
0.19171	607.36405	182.20922	332.66699
0.24680	796.40219	238.92066	436.20744
0.28162	867.80247	260.34074	475.31499
0.27510	863.67486	259.10246	473.05420
0.22633	808.83712	242.65114	443.01834
0.23768	846.25705	253.87712	463.51408
0.27107	967.65620	290.29686	530.00713
0.23181	849.30293	254.79088	465.18237
0.26421	759.22323	227.76697	415.84369
0.24581	665.63774	199.69132	364.58481
0.21709	599.68642	179.90593	328.46178
0.23264	631.01478	189.30443	345.62103
0.28214	685.65683	205.69705	375.54971
0.29311	632.95551	189.88665	346.68401
0.23130	874.58622	262.37587	479.03060
0.19973	771.87535	231.56261	422.77354
0.19027	769.11921	230.73576	421.26394
0.23751	819.77293	245.93188	449.00813
0.24513	697.16831	209.15049	381.85481
0.24185	628.52998	188.55899	344.26005
0.22792	625.33625	187.60088	342.51077
0.20381	707.65230	212.29569	387.59713
0.22322	822.48288	246.74486	450.49243
0.22372	814.51579	244.35474	446.12867
0.26328	919.92572	275.97772	503.86407
0.20820	742.00668	222.60200	406.41380
0.25291	902.86052	270.85816	494.51707
0.28337	978.70022	293.61007	536.05619
0.24551	815.38361	244.61508	446.60400
0.24074	694.04921	208.21476	380.14641
0.22919	614.49576	184.34873	336.57319
0.19343	495.64309	148.69293	271.47490
0.26775	675.30229	202.59069	369.87830
0.30703	722.36620	216.70986	395.65626
0.26354	947.06629	284.11989	518.72957
0.21471	822.13841	246.64152	450.30375
0.21026	818.55414	245.56624	448.34057
0.21515	805.95139	241.78542	441.43776
0.22588	760.95472	228.28642	416.79207
0.23373	670.31526	201.09458	367.14679
0.21111	598.20222	179.46067	327.64885
0.20341	625.21712	187.56514	342.44552
0.19910	724.96834	217.49050	397.08151
